504260	19506	multi-table	globalbioticinteractions/fishbase	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016).	2018-09-14T22:10:22.861Z
271904	14871	single table	millerse/Wardeh-et-al.-2015	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	2018-09-18T22:59:43.632Z
242429	57193	single table	globalbioticinteractions/natural-history-museum-london-interactions-bank	no citation	2018-09-18T23:00:42.207Z
225564	1268	single table	millerse/Dapstrom-integrated-database-and-portal-for-fish-stomach-records	no citation	2018-09-18T22:10:44.663Z
183935	835	single table	globalbioticinteractions/ices	Cooperative Research Report No. 164; Cooperative Research Report No. 219, ICES Stomach DatasetImpl, International Council for the Exploration of the Sea (ICES). Available at http://www.ices.dk/products/cooperative.asp .	2018-09-18T22:52:07.983Z
183773	34194	single table	EOL/pseudonitzchia	no citation	2018-09-18T23:00:58.621Z
122328	379	single table	globalbioticinteractions/noaa-reem	no citation	2018-09-18T22:18:49.253Z
99715	33008	single table	millerse/US-National-Parasite-Collection	no citation	2018-09-18T23:00:38.577Z
96647	736	single table	globalbioticinteractions/roopnarine	Roopnarine, P. D., & Hertog, R. (2013). Detailed Food Web Networks of Three Greater Antillean Coral Reef Systems: The Cayman Islands, Cuba, and Jamaica. Dataset Papers in Ecology, 2013, 1–9. doi:10.7167/2013/857470	2018-09-18T22:59:42.427Z
74304	1903	multi-table	GoMexSI/interaction-data	http://gomexsi.tamucc.edu	2018-09-18T22:05:35.785Z
61195	19828	multi-table	globalbioticinteractions/bioinfo	Food Webs and Species Interactions in the Biodiversity of UK and Ireland (Online). 2017. Data provided by Malcolm Storey. Also available from http://bioinfo.org.uk.	2018-09-18T22:21:12.053Z
51285	7477	multi-table	globalbioticinteractions/web-of-life	Web of Life. http://www.web-of-life.es .	2018-09-18T22:11:22.131Z
43645	9169	single table	globalbioticinteractions/ferrer-paris	 Ferrer-Paris, José R.; Sánchez-Mercado, Ada Y.; Lozano, Cecilia; Zambrano, Liset; Soto, José; Baettig, Jessica; Leal, María (2014): A compilation of larval host-plant records for six families of butterflies (Lepidoptera: Papilionoidea) from available electronic resources. figshare. http://dx.doi.org/10.6084/m9.figshare.1168861	2018-09-18T22:10:46.147Z
40474	6664	multi-table	globalbioticinteractions/sealifebase	Palomares, M.L.D. and D. Pauly. Editors. 2016. SeaLifeBase. World Wide Web electronic publication. www.sealifebase.org, version (10/2016).	2018-09-18T23:00:24.490Z
39620	11702	json	globalbioticinteractions/inaturalist	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.	2018-09-18T22:21:13.602Z
39520	4958	single table	kinseyfish/dietdatabase	Allen Hurlbert. 2017. Avian Diet Database.	2018-09-18T22:19:50.604Z
39476	4958	single table	hurlbertlab/dietdatabase	Allen Hurlbert. 2017. Avian Diet Database.	2018-09-18T22:05:21.773Z
38008	15357	single table	globalbioticinteractions/strona	Giovanni Strona, Maria Lourdes D. Palomares, Nicolas Bailly, Paolo Galli, and Kevin D. Lafferty. 2013. Host range, host ecology, and distribution of more than 11800 fish parasite species. Ecology 94:544. http://dx.doi.org/10.1890/12-1419.1 .	2018-09-18T22:19:54.008Z
34931	241	multi-table	globalbioticinteractions/barnes	Barnes, C. et al., 2008. Predator and prey body sizes in marine food webs. Ecology, 89(3), pp.881–881. Available at: https://doi.org/10.1890/07-1551.1 . Data provided by Carolyn Barnes. Also available at http://www.esapubs.org/Archive/ecol/E089/051/ .	2018-09-18T22:05:50.277Z
34179	7049	single table	millerse/Ecological-Database-of-the-World-s-Insect-Pathogens	Sarah E Miller. 12/13/2016. Species associations manually extracted from Onstad, D.W. EDWIP: Ecological Database of the World's Insect Pathogens. Champaign, Illinois: Illinois Natural History Survey, [23/11/2016]. http://insectweb.inhs.uiuc.edu/Pathogens/EDWIP.	2018-09-18T22:19:32.365Z
32120	4905	single table	globalbioticinteractions/globalwebdb	Global Web Database (http://globalwebdb.com): an online collection of food webs. Accessed via https://www.globalwebdb.com/Service/DownloadArchive on 2017-10-12.	2018-09-18T22:05:10.232Z
31848	1172	single table	millerse/Arctos	Sarah E Miller. 7/6/2016. Arctos collection.	2018-09-18T22:19:58.524Z
30167	4125	rdf	globalbioticinteractions/spire	no citation	2018-09-18T22:52:30.417Z
29548	4604	single table	Dryu0003/dietdatabase	Allen Hurlbert. 2017. Avian Diet Database.	2018-09-18T22:53:43.536Z
26462	1065	multi-table	globalbioticinteractions/raymond	Raymond, B., Marshall, M., Nevitt, G., Gillies, C., van den Hoff, J., Stark, J.S., Losekoot, M., Woehler, E.J., and Constable, A.J. (2011) A Southern Ocean dietary database. Ecology 92(5):1188. Available from http://dx.doi.org/10.1890/10-1907.1 . Data set supplied by Ben Raymond.	2018-09-18T22:59:55.834Z
25919	131	single table	globalbioticinteractions/wood2015	Wood SA, Russell R, Hanson D, Williams RJ, Dunne JA (2015) Data from: Effects of spatial scale of sampling on food web structure. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.g1qr6	2018-09-18T22:52:43.561Z
25838	1328	multi-table	globalbioticinteractions/saproxylic	Stokland, J.; Dahlberg, A.; Meyke, E.; Schigel, D.; Siitonen, J. (2006) The Nordic saproxylic database - a comprehensive overview of the biological diversity in dead wood. 1st European Congress of Conservation Biology - "Diversity for Europe". August 2006, Hungary. Book of Abstracts. Society of Conservation Biology (USA) & Blackwell Publishing (UK) p. 159 .	2018-09-18T22:53:56.561Z
22827	377	single table	millerse/Buprestidae-of-North-America	Sarah E Miller. 06/10/2015. Species associations manually extracted from Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.	2018-09-18T22:59:09.955Z
20823	810	single table	globalbioticinteractions/gray2015	Gray C, Ma A, Perkins D, Hudson L, Figueroa D, Woodward G (2015). Database of trophic interactions. Zenodo. https://doi.org/10.5281/zenodo.13751	2018-09-18T23:00:25.116Z
16865	1525	multi-table	globalbioticinteractions/brose	Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 .	2018-09-18T22:51:57.758Z
16331	124	multi-table	GoMexSI/akin	Akin, S., & Winemiller, K. O. (2006). Seasonal variation in food web composition and structure in a temperate tidal estuary. Estuaries and Coasts, 29(4), 552–567. doi:10.1007/bf02784282	2018-09-18T22:11:20.327Z
15596	8025	single table	globalbioticinteractions/aps	Poelen, JH (2016). Plant pathogen-host interactions scraped from Common Names of Plant Diseases published by the American Phytopathological Society at http://www.apsnet.org/publications/commonnames/Pages/default.aspx using Samara, a Planteome (http://planteome.org) plant-trait scraper.	2018-09-18T22:59:12.431Z
14896	8289	single table	globalbioticinteractions/siad	Species Interactions of Australia Database (SIAD): Helping us to understand species interactions in Australia and beyond. http://www.discoverlife.org/siad/ .	2018-09-18T22:21:01.500Z
13966	250	multi-table	globalbioticinteractions/hechinger2011	Ryan F. Hechinger, Kevin D. Lafferty, John P. McLaughlin, Brian L. Fredensborg, Todd C. Huspeni, Julio Lorda, Parwant K. Sandhu, Jenny C. Shaw, Mark E. Torchin, Kathleen L. Whitney, and Armand M. Kuris 2011. Food webs including parasites, biomass, body sizes, and life stages for three California/Baja California estuaries. Ecology 92:791–791. https://doi.org/10.1890/10-1383.1 .	2018-09-18T22:05:17.274Z
12610	10542	single table	globalbioticinteractions/gemina	Schriml, L. M., Arze, C., Nadendla, S., Ganapathy, A., Felix, V., Mahurkar, A., … Hall, N. (2009). GeMInA, Genomic Metadata for Infectious Agents, a geospatial surveillance pathogen database. Nucleic Acids Research, 38(Database), D754–D764. doi:10.1093/nar/gkp832	2018-09-18T22:59:40.678Z
10382	449	single table	jhpoelen/data	no citation	2018-09-18T22:05:28.037Z
10382	449	single table	globalbioticinteractions/phi-base-data	no citation	2018-09-18T22:07:28.927Z
10382	448	single table	PHI-base/data	no citation	2018-09-18T22:59:04.829Z
9063	4332	single table	millerse/Benesh-et-al-2017	Sarah E Miller. 9/19/2017. Species associations manually extracted from Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680	2018-09-18T22:59:52.460Z
9063	4332	single table	cmungall/Benesh-et-al-2017	Sarah E Miller. 9/19/2017. Species associations manually extracted from Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680	2018-09-18T22:52:03.819Z
8320	1054	single table	globalbioticinteractions/bello2017	no citation	2018-09-18T22:52:41.395Z
7720	365	multi-table	globalbioticinteractions/szoboszlai2015	Szoboszlai AI, Thayer JA, Wood SA, Sydeman WJ, Koehn LE (2015) Data from: Forage species in predator diets: synthesis of data from the California Current. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.nv5d2	2018-09-18T22:51:51.347Z
7694	1794	single table	globalbioticinteractions/AfricaTreeDatabase	Seltzer, Carrie; Wysocki, William; Palacios, Melissa; Eickhoff, Anna; Pilla, Hannah; Aungst, Jordan; Mercer, Aaron; Quicho, Jamie; Voss, Neil; Xu, Man; J. Ndangalasi, Henry; C. Lovett, Jon; J. Cordeiro, Norbert (2015): Plant-animal interactions from Africa. figshare. https://dx.doi.org/10.6084/m9.figshare.1526128	2018-09-18T22:59:53.134Z
7327	803	single table	millerse/Biological-Station-Arthropod-Collection	Sarah E. Miller.  07/06/2017.  Information extracted from dataset https://www.idigbio.org/portal/recordsets/db4bb0df-8539-4617-ab5f-eb118aa3126b.	2018-09-18T23:00:53.451Z
6774	511	multi-table	globalbioticinteractions/dunne2016SanakNearshore	Nearshore foob web manually extracted from Supplementary Data S1 in Dunne, J. A., Maschner, H., Betts, M. W., Huntly, N., Russell, R., Williams, R. J., & Wood, S. A. (2016). The roles and impacts of human hunter-gatherers in North Pacific marine food webs. Scientific Reports, 6, 21179. doi:10.1038/srep21179	2018-09-18T23:00:40.158Z
5673	623	single table	GoMexSI/simons	Simons JD. 1997. Food habits and trophic structure of the demersal fish assemblages on the Mississippi-Alabama continental shelf. PhD Thesis.	2018-09-18T22:05:51.619Z
5275	1466	dwca	globalbioticinteractions/Catalogue-of-Afrotropical-Bees	Eardley C, Coetzer W. 2011. Catalogue of Afrotropical Bees. http://doi.org/10.15468/u9ezbh	2018-09-18T22:05:53.887Z
5244	1670	single table	millerse/Plant-Pollinator-Web	Sarah E Miller. 6/19/2015. Species associations manually extracted from datasets https://www.nceas.ucsb.edu/interactionweb/resources.html.	2018-09-18T22:52:10.479Z
4409	544	multi-table	GoMexSI/abascal	http://gomexsi.tamucc.edu	2018-09-18T22:59:16.798Z
4167	971	single table	millerse/Lice	Sarah E Miller. 06/17/2015. Durden, Lance A., and Guy A. Musser. The Sucking Lice (Insecta, Anoplura) of the World : A Taxonomic Checklist with Records of Mammalian Hosts and Geographical Distributions. Bulletin of the AMNH ; No. 218. New York: American Museum of Natural History, 1994. Web.	2018-09-18T22:52:13.148Z
3589	1702	single table	globalbioticinteractions/saito2016	no citation	2018-09-18T23:00:04.020Z
3514	212	single table	globalbioticinteractions/aps-turfgrasses	Poelen, JH (2017). Plant pathogen-host interactions semi-automatically scraped from Common Names of Plant Diseases published by the American Phytopathological Society at http://www.apsnet.org/publications/commonnames/Pages/Turfgrasses.aspx using Samara, a Planteome (http://planteome.org) plant-trait scraper.	2018-09-18T22:05:30.147Z
3343	955	single table	millerse/Pollination-Collection	Sarah E Miller. 5/30/2016. Interations from various papers.	2018-09-18T22:58:57.535Z
3338	157	multi-table	globalbioticinteractions/thieltges2011	David W. Thieltges, Karsten Reise, Kim N. Mouritsen, John P. McLaughlin, and Robert Poulin. 2011. Food web including metazoan parasites for a tidal basin in Germany and Denmark. Ecology 92:2005. https://doi.org/10.1890/11-0351.1	2018-09-18T22:19:46.115Z
3293	260	single table	millerse/Bascompte-J.-Meli-n-C.J.-and-Sala-E.-2005	Sarah E Miller. 3/31/2015.  Species associations extracted from paper Jordi Bascompte, Carlos J. Melián, and Enric Sala Interaction strength combinations and the overfishing of a marine food web PNAS 2005 102: 5443-5447.	2018-09-18T22:19:51.805Z
2674	1498	single table	fgabriel1891/Plant-Frugivore-Interactions-SouthEastAsia	F. Gabriel. Muñoz. 2017. Palm-Animal frugivore associations extracted from literature with Biodiversity Observations Miner for SouthEast Asia.	2018-09-18T22:11:00.963Z
2651	1032	single table	millerse/Flowers-and-insects-lists-of-visitors-to-four-hundred-and-fifty-three-flowers	Sarah E Miller. 6/25/2015. Species associations manually extracted from Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson.	2018-09-18T22:06:19.654Z
2534	727	single table	millerse/BHL-Interactions	Sarah E Miller. 5/21/2015. Text gathered from http://www.biodiversitylibrary.org/	2018-09-18T22:59:08.230Z
2450	230	multi-table	globalbioticinteractions/planque2014	Benjamin Planque, Raul Primicerio, Kathrine Michalsen, Michaela Aschan, Grégoire Certain, Padmini Dalpadado, Harald Gjøsæater, Cecilie Hansen, Edda Johannesen, Lis Lindal Jørgensen, Ina Kolsum, Susanne Kortsch, Lise-Marie Leclerc, Lena Omli, Mette Skern-Mauritzen, and Magnus Wiedmann 2014. Who eats whom in the Barents Sea: a food web topology from plankton to whales. Ecology 95:1430–1430. https://doi.org/10.1890/13-1062.1	2018-09-18T22:19:09.633Z
2316	2687	single table	millerse/Lichenous	Sarah E Miller. 3/22/2016. Species associations extracted from Lawrey, J. D. & P. Diederich. 2016. Lichenicolous fungi – worldwide checklist, including isolated cultures and sequences available. URL: http://www.lichenicolous.net [1/3/2017].	2018-09-18T22:51:58.576Z
2290	126	single table	millerse/Carpinteria-Salt-Marsh-Web	Sarah E Miller. 6/19/2015. Species associations manually extracted from datasets https://www.nceas.ucsb.edu/interactionweb/resources.html.	2018-09-18T22:52:09.515Z
2156	744	single table	millerse/A-Host-parasite-Catalog-of-North-American-Tachinidae-Diptera-	Sarah E Miller. 5/28/2015. Arnaud, Paul Henri. A Host-parasite Catalog of North American Tachinidae (Diptera). Washington, D.C.: U.S. Dept. of Agriculture, Science and Education Administration, 1978.	2018-09-18T22:11:15.408Z
2090	204	multi-table	globalbioticinteractions/byrnes	no citation	2018-09-18T22:59:49.013Z
1924	126	multi-table	globalbioticinteractions/mouritsen2011	Kim N. Mouritsen, Robert Poulin, John P. McLaughlin and David W. Thieltges. 2011. Food web including metazoan parasites for an intertidal ecosystem in New Zealand. Ecology 92:2006.  https://doi.org/10.1890/11-0371.1	2018-09-18T22:05:14.208Z
1905	63	multi-table	globalbioticinteractions/preston2012	Daniel L. Preston, Sarah A. Orlofske, John P. McLaughlin, and Pieter T. J. Johnson. 2012. Food web including infectious agents for a California freshwater pond. Ecology 93:1760. https://doi.org/10.1890/11-2194.1	2018-09-18T22:59:31.255Z
1832	206	single table	millerse/Seaweed	Sarah E Miller. 9/2/2015. Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J (2012-02-27): SBC LTER: Reef: Feeding relationships for kelp forest species. Santa Barbara Coastal LTER; Long Term Ecological Research Network. http://dx.doi.org/10.6073/pasta/0873e69e238051cb67f28f6025f53da3	2018-09-18T22:53:44.495Z
1804	233	multi-table	globalbioticinteractions/dunne2016SanakIntertidal	Intertidal food web manually extracted from Supplementary Data S1 in Dunne, J. A., Maschner, H., Betts, M. W., Huntly, N., Russell, R., Williams, R. J., & Wood, S. A. (2016). The roles and impacts of human hunter-gatherers in North Pacific marine food webs. Scientific Reports, 6, 21179. doi:10.1038/srep21179	2018-09-18T22:51:59.054Z
1577	102	multi-table	globalbioticinteractions/zander2011	Zander, C. D., Josten, N., Detloff, K. C., Poulin, R., McLaughlin, J. P., & Thieltges, D. W. (2011). Food web including metazoan parasites for a brackish shallow water ecosystem in Germany and Denmark. Ecology, 92(10):2007. https://doi.org/10.1890/11-0374.1	2018-09-18T22:05:47.219Z
