abarner/template-dataset	19	11	globi:abarner/template-dataset	Jorrit H. Poelen. 2014. Species associations manually extracted from literature.	globi	https://github.com/abarner/template-dataset/archive/4bdb2493d4a6a9c36e864b1a2e3bab40459a1098.zip	2018-09-06T22:05:14.632Z
arw36/species-interaction-dataset-inventory	2	1	globi:arw36/species-interaction-dataset-inventory	A dataset of interaction datasets.	globi	https://github.com/arw36/species-interaction-dataset-inventory/archive/185c030edce6543478063e77e3d065692c1c3c5a.zip	2018-09-06T23:00:08.841Z
cmungall/Benesh-et-al-2017	4332	9063	globi:cmungall/Benesh-et-al-2017	Sarah E Miller. 9/19/2017. Species associations manually extracted from Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680	globi	https://github.com/cmungall/Benesh-et-al-2017/archive/129b7f7f66ee09bc4da41e46ea3dd7ad89e53fea.zip	2018-09-06T22:51:28.492Z
cmungall/dinosaur-biotic-interactions	25	16	globi:cmungall/dinosaur-biotic-interactions	Katja Schulz. 2015. Information about dinosaur diets manually extracted from literature.	globi	https://github.com/cmungall/dinosaur-biotic-interactions/archive/e744bef6ff47d57b86b81fe767ad983ef5b7f460.zip	2018-09-06T22:59:23.579Z
dataset.namespace	report.nTaxa	report.nInteractions	report.sourceId	dataset.citation	dataset.format	dataset.archiveURI	dataset.lastSeenAt
diatomsRcool/greenland_interactions	138	331	globi:diatomsRcool/greenland_interactions		globi	https://github.com/diatomsRcool/greenland_interactions/archive/4a008157e36149fd034b594494f64a07ed39f8d7.zip	2018-09-06T22:19:01.823Z
diatomsRcool/yellowstone_grizzly	252	254	globi:diatomsRcool/yellowstone_grizzly	Gunther KA et al. 2014 Dietary breadth of grizzly bears in the Greater Yellowstone Ecosystem. Ursus 25(1):60-72	globi	https://github.com/diatomsRcool/yellowstone_grizzly/archive/b0daae49f01058a5520780614bb2c1e546da0873.zip	2018-09-06T23:00:14.797Z
Dryu0003/dietdatabase	4604	29548	globi:Dryu0003/dietdatabase	Allen Hurlbert. 2017. Avian Diet Database.	hurlbert	https://github.com/Dryu0003/dietdatabase/archive/bbd9be71f5db476449b66d948e4938dce5900300.zip	2018-09-06T22:52:59.164Z
EOL/pseudonitzchia	34194	183773	globi:EOL/pseudonitzchia	no citation	globi	https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip	2018-09-06T23:00:21.946Z
fgabriel1891/Palm-Frugivore_Interactions_Neo-Afrotropics	452	1175	globi:fgabriel1891/Palm-Frugivore_Interactions_Neo-Afrotropics	Muñoz, G., Trøjelsgaard, K., & W.D. Kissling. 2018. A synthesis of animal-mediated seed dispersal of palms reveals distinct biogeographic differences in species interactions. Journal of Biogeography (in progress)	globi	https://github.com/fgabriel1891/Palm-Frugivore_Interactions_Neo-Afrotropics/archive/957b06343e2e661a6be0879b10a44400788fb0f8.zip	2018-09-06T22:19:21.951Z
fgabriel1891/Plant-Frugivore-Interactions-SouthEastAsia	1498	2674	globi:fgabriel1891/Plant-Frugivore-Interactions-SouthEastAsia	F. Gabriel. Muñoz. 2017. Palm-Animal frugivore associations extracted from literature with Biodiversity Observations Miner for SouthEast Asia.	globi	https://github.com/fgabriel1891/Plant-Frugivore-Interactions-SouthEastAsia/archive/301c7869793aa264f1efb41c1fabc5c2e7d3ae31.zip	2018-09-06T22:10:04.549Z
globalbioticinteractions/AfricaTreeDatabase	1794	7694	globi:globalbioticinteractions/AfricaTreeDatabase	Seltzer, Carrie; Wysocki, William; Palacios, Melissa; Eickhoff, Anna; Pilla, Hannah; Aungst, Jordan; Mercer, Aaron; Quicho, Jamie; Voss, Neil; Xu, Man; J. Ndangalasi, Henry; C. Lovett, Jon; J. Cordeiro, Norbert (2015): Plant-animal interactions from Africa. figshare. https://dx.doi.org/10.6084/m9.figshare.1526128	globi	https://zenodo.org/record/229547/files/globalbioticinteractions/AfricaTreeDatabase-v0.1.zip	2018-09-06T22:59:21.447Z
globalbioticinteractions/aps	8025	15596	globi:globalbioticinteractions/aps	Poelen, JH (2016). Plant pathogen-host interactions scraped from Common Names of Plant Diseases published by the American Phytopathological Society at http://www.apsnet.org/publications/commonnames/Pages/default.aspx using Samara, a Planteome (http://planteome.org) plant-trait scraper.	globi	https://github.com/globalbioticinteractions/aps/archive/5c42a8269d5df37004ca954b8a8260f2b10d45e5.zip	2018-09-06T22:58:35.974Z
globalbioticinteractions/aps-turfgrasses	212	3514	globi:globalbioticinteractions/aps-turfgrasses	Poelen, JH (2017). Plant pathogen-host interactions semi-automatically scraped from Common Names of Plant Diseases published by the American Phytopathological Society at http://www.apsnet.org/publications/commonnames/Pages/Turfgrasses.aspx using Samara, a Planteome (http://planteome.org) plant-trait scraper.	globi	https://github.com/globalbioticinteractions/aps-turfgrasses/archive/bdd72cdc780a1963ad56f6a5249350cce21e2bd6.zip	2018-09-06T22:05:27.208Z
globalbioticinteractions/arthropodEasyCaptureAMNH	9579	350213	globi:globalbioticinteractions/arthropodEasyCaptureAMNH	no citation	arthropodEasyCapture	https://github.com/globalbioticinteractions/arthropodEasyCaptureAMNH/archive/ef9963efce497f7c545cc59e9bf905d78d854984.zip	2018-09-06T22:06:26.635Z
globalbioticinteractions/arthropodEasyCaptureAMNH	9579	350213	globi:globalbioticinteractions/arthropodEasyCaptureAMNH	no citation	arthropodEasyCapture	https://github.com/globalbioticinteractions/arthropodEasyCaptureAMNH/archive/ef9963efce497f7c545cc59e9bf905d78d854984.zip	2018-09-06T22:06:26.635Z
globalbioticinteractions/arthropodEasyCaptureAMNH	9579	350213	globi:globalbioticinteractions/arthropodEasyCaptureAMNH	no citation	arthropodEasyCapture	https://github.com/globalbioticinteractions/arthropodEasyCaptureAMNH/archive/ef9963efce497f7c545cc59e9bf905d78d854984.zip	2018-09-06T22:06:26.635Z
globalbioticinteractions/arthropodEasyCaptureAMNH	9579	350213	globi:globalbioticinteractions/arthropodEasyCaptureAMNH	no citation	arthropodEasyCapture	https://github.com/globalbioticinteractions/arthropodEasyCaptureAMNH/archive/ef9963efce497f7c545cc59e9bf905d78d854984.zip	2018-09-06T22:06:26.635Z
globalbioticinteractions/barnes	241	34931	globi:globalbioticinteractions/barnes	Barnes, C. et al., 2008. Predator and prey body sizes in marine food webs. Ecology, 89(3), pp.881–881. Available at: https://doi.org/10.1890/07-1551.1 . Data provided by Carolyn Barnes. Also available at http://www.esapubs.org/Archive/ecol/E089/051/ .	barnes	https://github.com/globalbioticinteractions/barnes/archive/b709ea5904be94aba58e70aed2593b042db65b9b.zip	2018-09-06T22:05:48.328Z
globalbioticinteractions/bell	27	762	globi:globalbioticinteractions/bell	Bell, K. C., Matek, D., Demboski, J. R., & Cook, J. A. (2015). Expanded Host Range of Sucking Lice and Pinworms of Western North American Chipmunks. Comparative Parasitology, 82(2), 312–321. doi:10.1654/4756.1 . Data provided by Kayce C. Bell.	bell	https://github.com/globalbioticinteractions/bell/archive/fea11e28bce47ca9723f5e8f709b43c24e03a5e4.zip	2018-09-06T22:19:08.348Z
globalbioticinteractions/bello2017	1054	8320	globi:globalbioticinteractions/bello2017	no citation	globi	https://github.com/globalbioticinteractions/bello2017/archive/bdbe4d95086da6b08cad82e55c87c0e2cd3378c7.zip	2018-09-06T22:51:58.115Z
globalbioticinteractions/bioinfo	19828	61195	globi:globalbioticinteractions/bioinfo	no citation	bioinfo	https://zenodo.org/record/293019/files/globalbioticinteractions/bioinfo-v1.0.zip	2018-09-06T22:19:37.081Z
globalbioticinteractions/brose	1525	16865	globi:globalbioticinteractions/brose	Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 .	brose	https://github.com/globalbioticinteractions/brose/archive/3a3a3b7c2747bf2901c737549f48e0903bc39df2.zip	2018-09-06T22:51:21.660Z
globalbioticinteractions/byrnes	204	2090	globi:globalbioticinteractions/byrnes	no citation	byrnes	https://zenodo.org/record/546426/files/globalbioticinteractions/byrnes-v1.0.zip	2018-09-06T22:59:17.576Z
globalbioticinteractions/caps-pest-lists	272	882	globi:globalbioticinteractions/caps-pest-lists	Jorrit H. Poelen. 2017. Species associations manually extracted from US National Cooperative Agricultural Pest Survey at <http://caps.ceris.purdue.edu/pest-lists>.	globi	https://github.com/globalbioticinteractions/caps-pest-lists/archive/ee9e8b05c3ff5423e73902c775e5107918a1c730.zip	2018-09-06T22:51:35.329Z
globalbioticinteractions/Catalogue-of-Afrotropical-Bees	1466	5275	globi:globalbioticinteractions/Catalogue-of-Afrotropical-Bees	Eardley C, Coetzer W. 2011. Catalogue of Afrotropical Bees. http://doi.org/10.15468/u9ezbh	coetzer	https://zenodo.org/record/229519/files/globalbioticinteractions/Catalogue-of-Afrotropical-Bees-v0.1.zip	2018-09-06T22:05:53.481Z
globalbioticinteractions/choy2017	96	223	globi:globalbioticinteractions/choy2017	no citation	globi	https://github.com/globalbioticinteractions/choy2017/archive/54a6b6194a48eb7cb6fcc3d88ed0325d71d6d8ef.zip	2018-09-06T22:59:53.882Z
globalbioticinteractions/cook	2	335	globi:globalbioticinteractions/cook	no citation	cook	https://github.com/globalbioticinteractions/cook/archive/dba9272d77a1e7f9a104716bf4bcf856dbd2cd85.zip	2018-09-06T22:51:58.987Z
globalbioticinteractions/cruaud	245	203	globi:globalbioticinteractions/cruaud	no citation	cruaud	https://github.com/globalbioticinteractions/cruaud/archive/2774167bee6bcc4a1187ccb606d855edd646f19a.zip	2018-09-06T22:58:13.855Z
globalbioticinteractions/dunne2016SanakIntertidal	233	1804	globi:globalbioticinteractions/dunne2016SanakIntertidal	Intertidal food web manually extracted from Supplementary Data S1 in Dunne, J. A., Maschner, H., Betts, M. W., Huntly, N., Russell, R., Williams, R. J., & Wood, S. A. (2016). The roles and impacts of human hunter-gatherers in North Pacific marine food webs. Scientific Reports, 6, 21179. doi:10.1038/srep21179	dunne	https://zenodo.org/record/229521/files/globalbioticinteractions/dunne2016SanakIntertidal-v0.1.zip	2018-09-06T22:51:23.367Z
globalbioticinteractions/dunne2016SanakNearshore	511	6774	globi:globalbioticinteractions/dunne2016SanakNearshore	Nearshore foob web manually extracted from Supplementary Data S1 in Dunne, J. A., Maschner, H., Betts, M. W., Huntly, N., Russell, R., Williams, R. J., & Wood, S. A. (2016). The roles and impacts of human hunter-gatherers in North Pacific marine food webs. Scientific Reports, 6, 21179. doi:10.1038/srep21179	dunne	https://zenodo.org/record/229522/files/globalbioticinteractions/dunne2016SanakNearshore-v0.1.zip	2018-09-06T23:00:07.303Z
globalbioticinteractions/ferrer-paris	9173	43645	globi:globalbioticinteractions/ferrer-paris	 Ferrer-Paris, José R.; Sánchez-Mercado, Ada Y.; Lozano, Cecilia; Zambrano, Liset; Soto, José; Baettig, Jessica; Leal, María (2014): A compilation of larval host-plant records for six families of butterflies (Lepidoptera: Papilionoidea) from available electronic resources. figshare. http://dx.doi.org/10.6084/m9.figshare.1168861	ferrer-paris	https://github.com/globalbioticinteractions/ferrer-paris/archive/39d710e23618149bd86d06cbcafacc1f1041733e.zip	2018-09-06T22:09:59.007Z
globalbioticinteractions/fishbase	19506	504260	globi:globalbioticinteractions/fishbase	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016).	fishbase	https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip	2018-09-06T22:10:29.186Z
globalbioticinteractions/gemina	10542	12610	globi:globalbioticinteractions/gemina	no citation	gemina	https://github.com/globalbioticinteractions/gemina/archive/74f37dd442b95f95b601953128f37a07c99d7fab.zip	2018-09-06T22:59:11.157Z
globalbioticinteractions/globalwebdb	4905	32120	globi:globalbioticinteractions/globalwebdb	Global Web Database (http://globalwebdb.com): an online collection of food webs. Accessed via https://www.globalwebdb.com/Service/DownloadArchive on 2017-10-12.	globalwebdb	https://github.com/globalbioticinteractions/globalwebdb/archive/33802c7ddc393a100f8a1384d470278ce20ad4cf.zip	2018-09-06T22:05:06.067Z
globalbioticinteractions/gray2015	810	20823	globi:globalbioticinteractions/gray2015	Gray C, Ma A, Perkins D, Hudson L, Figueroa D, Woodward G (2015). Database of trophic interactions. Zenodo. https://doi.org/10.5281/zenodo.13751	gray	https://github.com/globalbioticinteractions/gray2015/archive/95bfd96cc46e5d58482fd2bdad0677eeb74ba0f4.zip	2018-09-06T22:59:52.448Z
globalbioticinteractions/hafner	31	17	globi:globalbioticinteractions/hafner	Shan Kothari, Pers. Comm. 2014.	hafner	https://github.com/globalbioticinteractions/hafner/archive/27f4f8fa7259c68b203f4ebc0d882911d646b721.zip	2018-09-06T22:05:10.761Z
globalbioticinteractions/hechinger2011	250	13966	globi:globalbioticinteractions/hechinger2011	Ryan F. Hechinger, Kevin D. Lafferty, John P. McLaughlin, Brian L. Fredensborg, Todd C. Huspeni, Julio Lorda, Parwant K. Sandhu, Jenny C. Shaw, Mark E. Torchin, Kathleen L. Whitney, and Armand M. Kuris 2011. Food webs including parasites, biomass, body sizes, and life stages for three California/Baja California estuaries. Ecology 92:791–791. https://doi.org/10.1890/10-1383.1 .	hechinger	https://github.com/globalbioticinteractions/hechinger2011/archive/463689b36cb01546656103f527898fa8a1068dfd.zip	2018-09-06T22:05:13.857Z
globalbioticinteractions/ices	835	183935	globi:globalbioticinteractions/ices	no citation	ices	https://github.com/globalbioticinteractions/ices/archive/99077c13bd8286e8ccf57b3e81b5de898f0eefe7.zip	2018-09-06T22:51:31.818Z
globalbioticinteractions/inaturalist	11600	39046	globi:globalbioticinteractions/inaturalist	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.	inaturalist	https://github.com/globalbioticinteractions/inaturalist/archive/5631aa49988c363df7c795d106a2a2d7a943985b.zip	2018-09-06T22:19:38.695Z
globalbioticinteractions/jsonld-template-dataset	3	2	globi:globalbioticinteractions/jsonld-template-dataset	no citation	globi	https://github.com/globalbioticinteractions/jsonld-template-dataset/archive/5d31a27594656ba947e6d33f59e0c0774a115b51.zip	2018-09-06T22:10:02.721Z
globalbioticinteractions/kelpforest	0	0	globi:globalbioticinteractions/kelpforest	no citation	kelpforest	https://github.com/globalbioticinteractions/kelpforest/archive/0d4ae5a8a4d68b048c38535cefad32f6601df194.zip	2018-09-06T22:59:18.955Z
globalbioticinteractions/known-projects	2	1	globi:globalbioticinteractions/known-projects	A dataset of interaction datasets.	globi	https://github.com/globalbioticinteractions/known-projects/archive/185c030edce6543478063e77e3d065692c1c3c5a.zip	2017-11-28T20:14:23Z
globalbioticinteractions/life-watch-greece	175	793	globi:globalbioticinteractions/life-watch-greece	Faulwetter S, Markantonatou V, Pavloudi C, Papageorgiou N, Keklikoglou K, Chatzinikolaou E, Pafilis E, Chatzigeorgiou G, Vasileiadou K, Dailianis T, Fanini L, Koulouri P, Arvanitidis C (2014) Polytraits: A database on biological traits of marine polychaetes. Biodiversity Data Journal 2: e1024. doi:10.3897/BDJ.2.e1024 . Available at http://polytraits.lifewatchgreece.eu.	life-watch-greece	https://github.com/globalbioticinteractions/life-watch-greece/archive/1c4c748c9c1941463ae22903de0016c278604cf2.zip	2018-09-06T22:18:07.409Z
globalbioticinteractions/lupinus-nipomensis-interactions-2017	27	156	globi:globalbioticinteractions/lupinus-nipomensis-interactions-2017	Justin Luong. 2017. Lupinus nipomensis arthropod association study.	globi	https://github.com/globalbioticinteractions/lupinus-nipomensis-interactions-2017/archive/0a70dc845243d877361c69d821442ce2b2777f2c.zip	2018-09-06T23:00:19.638Z
globalbioticinteractions/mouritsen2011	126	1924	globi:globalbioticinteractions/mouritsen2011	Kim N. Mouritsen, Robert Poulin, John P. McLaughlin and David W. Thieltges. 2011. Food web including metazoan parasites for an intertidal ecosystem in New Zealand. Ecology 92:2006.  https://doi.org/10.1890/11-0371.1	hechinger	https://github.com/globalbioticinteractions/mouritsen2011/archive/100285bab95b18aa8bade3a79b0621b455d3a743.zip	2018-09-06T22:05:09.944Z
globalbioticinteractions/natural-history-museum-london-interactions-bank	57193	242429	globi:globalbioticinteractions/natural-history-museum-london-interactions-bank	no citation	globi	https://github.com/globalbioticinteractions/natural-history-museum-london-interactions-bank/archive/ca9177228cff8a19d2590dbd6f64b2545ebd991c.zip	2018-09-06T23:00:09.339Z
globalbioticinteractions/noaa-reem	379	122328	globi:globalbioticinteractions/noaa-reem	no citation	globi	https://zenodo.org/record/229505/files/globalbioticinteractions/noaa-reem-v0.1.zip	2018-09-06T22:17:37.247Z
globalbioticinteractions/noaa-reem	379	122328	globi:globalbioticinteractions/noaa-reem	no citation	globi	https://zenodo.org/record/229505/files/globalbioticinteractions/noaa-reem-v0.1.zip	2018-09-06T22:17:37.247Z
globalbioticinteractions/noaa-reem	379	122328	globi:globalbioticinteractions/noaa-reem	no citation	globi	https://zenodo.org/record/229505/files/globalbioticinteractions/noaa-reem-v0.1.zip	2018-09-06T22:17:37.247Z
globalbioticinteractions/phi-base-data	449	10382	globi:globalbioticinteractions/phi-base-data	no citation	globi	https://github.com/globalbioticinteractions/phi-base-data/archive/fde8b08cfff9c470b846438b98a9384f95776170.zip	2018-09-06T22:06:23.842Z
globalbioticinteractions/planque2014	230	2450	globi:globalbioticinteractions/planque2014	Benjamin Planque, Raul Primicerio, Kathrine Michalsen, Michaela Aschan, Grégoire Certain, Padmini Dalpadado, Harald Gjøsæater, Cecilie Hansen, Edda Johannesen, Lis Lindal Jørgensen, Ina Kolsum, Susanne Kortsch, Lise-Marie Leclerc, Lena Omli, Mette Skern-Mauritzen, and Magnus Wiedmann 2014. Who eats whom in the Barents Sea: a food web topology from plankton to whales. Ecology 95:1430–1430. https://doi.org/10.1890/13-1062.1	planque	https://github.com/globalbioticinteractions/planque2014/archive/bf0b3eb63d414a12ac5d3b4d5d555d2a473eb4ce.zip	2018-09-06T22:18:09.047Z
globalbioticinteractions/preston2012	63	1905	globi:globalbioticinteractions/preston2012	Daniel L. Preston, Sarah A. Orlofske, John P. McLaughlin, and Pieter T. J. Johnson. 2012. Food web including infectious agents for a California freshwater pond. Ecology 93:1760. https://doi.org/10.1890/11-2194.1	hechinger	https://github.com/globalbioticinteractions/preston2012/archive/4e2c6bf56be2bc2f35e7795c6c35fb1ea4af72e3.zip	2018-09-06T22:58:56.118Z
globalbioticinteractions/raymond	1065	26462	globi:globalbioticinteractions/raymond	Raymond, B., Marshall, M., Nevitt, G., Gillies, C., van den Hoff, J., Stark, J.S., Losekoot, M., Woehler, E.J., and Constable, A.J. (2011) A Southern Ocean dietary database. Ecology 92(5):1188. Available from http://dx.doi.org/10.1890/10-1907.1 . Data set supplied by Ben Raymond.	raymond	https://github.com/globalbioticinteractions/raymond/archive/9cd2c5fefda740e19a53f6f1899871a1ec02f5f2.zip	2018-09-06T22:59:24.623Z
